#{"t_start": 1665058444.090003, "env_id": null}
r,l,t
-3.0,2000,8.376102
-6.0,2000,8.376102
-3.0,2000,8.376102
-3.0,2000,8.376102
0.0,2000,14.269281
-3.0,2000,14.270281
-3.0,2000,14.270281
-3.0,2000,14.270281
-6.0,2000,20.16035
0.0,2000,20.16035
-3.0,2000,20.16135
-3.0,2000,20.16135
0.0,2000,25.915348
-3.0,2000,25.915348
0.0,2000,25.915348
0.0,2000,25.915348
-3.0,2000,31.798505
0.0,2000,31.798505
-3.0,2000,31.798505
0.0,2000,31.798505
0.0,2000,37.627158
0.0,2000,37.627158
0.0,2000,37.627158
0.0,2000,37.627158
0.0,2000,43.535213
-3.0,2000,43.535213
0.0,2000,43.535213
-3.0,2000,43.536212
0.0,2000,49.480212
0.0,2000,49.480212
0.0,2000,49.480212
0.0,2000,49.480212